"Survie";"Derive";"Standardisation";"Mortalite";"Fecondite"
0.446196681633592;0;1;1;1
0.326981418929063;0;1;1;1
0.597762608481571;0;1;1;1
0.380813315557316;0;1;1;1
0.281512780976482;0;1;1;1
0.3023164143553;0;1;1;1
0.4805775081506;0;1;1;1
0.401710413908586;0;1;1;1
0.6267370889429;0;1;1;1
0.238111217087135;0;1;1;1
0.410936433053575;0;1;1;1
0.597828887682408;0;1;1;1
0.42152233030647;0;1;1;1
0.568897848762572;0;1;1;1
0.276812975574285;0;1;1;1
0.576598544185981;0;1;1;1
0.490878756553866;0;1;1;1
0.544047431950457;0;1;1;1
0.461345857521519;0;1;1;1
0.477805762249045;0;1;1;1
0.596144254598767;0;1;1;1
0.444708667509258;0;1;1;1
0.406510605872609;0;1;1;1
0.280241760006174;0;1;1;1
0.33209267728962;0;1;1;1
0.464682602719404;0;1;1;1
0.362432907498442;0;1;1;1
0.614025638252497;0;1;1;1
0.3168482019566;0;1;1;1
0.673672356689349;0;1;1;1
0.393703106953762;0;1;1;1
0.527212265925482;0;1;1;1
0.541544002760202;0;1;1;1
0.602593954582699;0;1;1;1
0.202846265910193;0;1;1;1
0.278929065377451;0;1;1;1
0.504513152572326;0;1;1;1
0.238722358760424;0;1;1;1
0.619472394627519;0;1;1;1
0.244807142112404;0;1;1;1
0.443228631909005;0;1;1;1
0.316966923815198;0;1;1;1
0.349845872656442;0;1;1;1
0.215360707300715;0;1;1;1
0.400169926160015;0;1;1;1
0.572964775539003;0;1;1;1
0.372956370282918;0;1;1;1
0.217937163473107;0;1;1;1
0.391229096031748;0;1;1;1
0.401217187917791;0;1;1;1
