"Survie";"Derive";"Standardisation";"Mortalite";"Fecondite"
0.5;0;1;1;0.92310644434765
0.5;0;1;1;0.903069000411779
0.5;0;1;1;1.02092897333205
0.5;0;1;1;0.822553260158748
0.5;0;1;1;0.987419713567942
0.5;0;1;1;0.993508294038475
0.5;0;1;1;1.12496104706079
0.5;0;1;1;0.948128214851022
0.5;0;1;1;1.01862343801185
0.5;0;1;1;0.868104820419103
0.5;0;1;1;1.04999859081581
0.5;0;1;1;1.15286620724946
0.5;0;1;1;0.91214153598994
0.5;0;1;1;0.95939516061917
0.5;0;1;1;1.10502043291926
0.5;0;1;1;1.0676086849533
0.5;0;1;1;0.881844864785671
0.5;0;1;1;0.94300994137302
0.5;0;1;1;0.943790045939386
0.5;0;1;1;1.07611621133983
0.5;0;1;1;1.0143244615756
0.5;0;1;1;1.08432153817266
0.5;0;1;1;1.01533947931603
0.5;0;1;1;1.09958889074624
0.5;0;1;1;0.968040580209345
0.5;0;1;1;0.868568085040897
0.5;0;1;1;1.1081206439063
0.5;0;1;1;1.15278143510222
0.5;0;1;1;1.01963868411258
0.5;0;1;1;0.911089502647519
0.5;0;1;1;0.995322397630662
0.5;0;1;1;1.17140202997252
0.5;0;1;1;0.939476792700589
0.5;0;1;1;1.1816630830057
0.5;0;1;1;1.07810965562239
0.5;0;1;1;1.15578141557053
0.5;0;1;1;0.87216289807111
0.5;0;1;1;1.05175634017214
0.5;0;1;1;1.19582565464079
0.5;0;1;1;0.852115548029542
0.5;0;1;1;0.932264210283756
0.5;0;1;1;1.14604821866378
0.5;0;1;1;1.11103377575055
0.5;0;1;1;1.13092137984931
0.5;0;1;1;1.04132974259555
0.5;0;1;1;0.99649272877723
0.5;0;1;1;1.11214340440929
0.5;0;1;1;1.15369081096724
0.5;0;1;1;0.883085559122264
0.5;0;1;1;0.922834358736873
