"Survie";"Derive";"Standardisation";"Mortalite";"Fecondite"
0.5;0;0.92310644434765;1;1
0.5;0;0.903069000411779;1;1
0.5;0;1.02092897333205;1;1
0.5;0;0.822553260158748;1;1
0.5;0;0.987419713567942;1;1
0.5;0;0.993508294038475;1;1
0.5;0;1.12496104706079;1;1
0.5;0;0.948128214851022;1;1
0.5;0;1.01862343801185;1;1
0.5;0;0.868104820419103;1;1
0.5;0;1.04999859081581;1;1
0.5;0;1.15286620724946;1;1
0.5;0;0.91214153598994;1;1
0.5;0;0.95939516061917;1;1
0.5;0;1.10502043291926;1;1
0.5;0;1.0676086849533;1;1
0.5;0;0.881844864785671;1;1
0.5;0;0.94300994137302;1;1
0.5;0;0.943790045939386;1;1
0.5;0;1.07611621133983;1;1
0.5;0;1.0143244615756;1;1
0.5;0;1.08432153817266;1;1
0.5;0;1.01533947931603;1;1
0.5;0;1.09958889074624;1;1
0.5;0;0.968040580209345;1;1
0.5;0;0.868568085040897;1;1
0.5;0;1.1081206439063;1;1
0.5;0;1.15278143510222;1;1
0.5;0;1.01963868411258;1;1
0.5;0;0.911089502647519;1;1
0.5;0;0.995322397630662;1;1
0.5;0;1.17140202997252;1;1
0.5;0;0.939476792700589;1;1
0.5;0;1.1816630830057;1;1
0.5;0;1.07810965562239;1;1
0.5;0;1.15578141557053;1;1
0.5;0;0.87216289807111;1;1
0.5;0;1.05175634017214;1;1
0.5;0;1.19582565464079;1;1
0.5;0;0.852115548029542;1;1
0.5;0;0.932264210283756;1;1
0.5;0;1.14604821866378;1;1
0.5;0;1.11103377575055;1;1
0.5;0;1.13092137984931;1;1
0.5;0;1.04132974259555;1;1
0.5;0;0.99649272877723;1;1
0.5;0;1.11214340440929;1;1
0.5;0;1.15369081096724;1;1
0.5;0;0.883085559122264;1;1
0.5;0;0.922834358736873;1;1
